;SK_ID_CURR;NAME_CONTRACT_TYPE;CODE_GENDER;FLAG_OWN_CAR;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;AMT_CREDIT;AMT_ANNUITY;AMT_GOODS_PRICE;REGION_POPULATION_RELATIVE;DAYS_BIRTH;DAYS_EMPLOYED;DAYS_REGISTRATION;DAYS_ID_PUBLISH;OWN_CAR_AGE;FLAG_MOBIL;FLAG_EMP_PHONE;FLAG_WORK_PHONE;FLAG_CONT_MOBILE;FLAG_PHONE;FLAG_EMAIL;CNT_FAM_MEMBERS;REGION_RATING_CLIENT;REGION_RATING_CLIENT_W_CITY;HOUR_APPR_PROCESS_START;REG_REGION_NOT_LIVE_REGION;REG_REGION_NOT_WORK_REGION;LIVE_REGION_NOT_WORK_REGION;REG_CITY_NOT_LIVE_CITY;REG_CITY_NOT_WORK_CITY;LIVE_CITY_NOT_WORK_CITY;EXT_SOURCE_1;EXT_SOURCE_2;EXT_SOURCE_3;APARTMENTS_AVG;BASEMENTAREA_AVG;YEARS_BEGINEXPLUATATION_AVG;YEARS_BUILD_AVG;COMMONAREA_AVG;ELEVATORS_AVG;ENTRANCES_AVG;FLOORSMAX_AVG;FLOORSMIN_AVG;LANDAREA_AVG;LIVINGAPARTMENTS_AVG;LIVINGAREA_AVG;NONLIVINGAPARTMENTS_AVG;NONLIVINGAREA_AVG;APARTMENTS_MODE;BASEMENTAREA_MODE;YEARS_BEGINEXPLUATATION_MODE;YEARS_BUILD_MODE;COMMONAREA_MODE;ELEVATORS_MODE;ENTRANCES_MODE;FLOORSMAX_MODE;FLOORSMIN_MODE;LANDAREA_MODE;LIVINGAPARTMENTS_MODE;LIVINGAREA_MODE;NONLIVINGAPARTMENTS_MODE;NONLIVINGAREA_MODE;APARTMENTS_MEDI;BASEMENTAREA_MEDI;YEARS_BEGINEXPLUATATION_MEDI;YEARS_BUILD_MEDI;COMMONAREA_MEDI;ELEVATORS_MEDI;ENTRANCES_MEDI;FLOORSMAX_MEDI;FLOORSMIN_MEDI;LANDAREA_MEDI;LIVINGAPARTMENTS_MEDI;LIVINGAREA_MEDI;NONLIVINGAPARTMENTS_MEDI;NONLIVINGAREA_MEDI;TOTALAREA_MODE;EMERGENCYSTATE_MODE;OBS_30_CNT_SOCIAL_CIRCLE;DEF_30_CNT_SOCIAL_CIRCLE;OBS_60_CNT_SOCIAL_CIRCLE;DEF_60_CNT_SOCIAL_CIRCLE;DAYS_LAST_PHONE_CHANGE;FLAG_DOCUMENT_2;FLAG_DOCUMENT_3;FLAG_DOCUMENT_4;FLAG_DOCUMENT_5;FLAG_DOCUMENT_6;FLAG_DOCUMENT_7;FLAG_DOCUMENT_8;FLAG_DOCUMENT_9;FLAG_DOCUMENT_10;FLAG_DOCUMENT_11;FLAG_DOCUMENT_12;FLAG_DOCUMENT_13;FLAG_DOCUMENT_14;FLAG_DOCUMENT_15;FLAG_DOCUMENT_16;FLAG_DOCUMENT_17;FLAG_DOCUMENT_18;FLAG_DOCUMENT_19;FLAG_DOCUMENT_20;FLAG_DOCUMENT_21;AMT_REQ_CREDIT_BUREAU_HOUR;AMT_REQ_CREDIT_BUREAU_DAY;AMT_REQ_CREDIT_BUREAU_WEEK;AMT_REQ_CREDIT_BUREAU_MON;AMT_REQ_CREDIT_BUREAU_QRT;AMT_REQ_CREDIT_BUREAU_YEAR;NAME_TYPE_SUITE_Children;NAME_TYPE_SUITE_Family;NAME_TYPE_SUITE_Group of people;NAME_TYPE_SUITE_Other_A;NAME_TYPE_SUITE_Other_B;NAME_TYPE_SUITE_Spouse, partner;NAME_TYPE_SUITE_Unaccompanied;NAME_INCOME_TYPE_Commercial associate;NAME_INCOME_TYPE_State servant;NAME_INCOME_TYPE_Working;NAME_EDUCATION_TYPE_Academic degree;NAME_EDUCATION_TYPE_Higher education;NAME_EDUCATION_TYPE_Incomplete higher;NAME_EDUCATION_TYPE_Lower secondary;NAME_EDUCATION_TYPE_Secondary / secondary special;NAME_FAMILY_STATUS_Civil marriage;NAME_FAMILY_STATUS_Married;NAME_FAMILY_STATUS_Separated;NAME_FAMILY_STATUS_Single / not married;NAME_FAMILY_STATUS_Widow;NAME_HOUSING_TYPE_Co-op apartment;NAME_HOUSING_TYPE_House / apartment;NAME_HOUSING_TYPE_Municipal apartment;NAME_HOUSING_TYPE_Office apartment;NAME_HOUSING_TYPE_Rented apartment;NAME_HOUSING_TYPE_With parents;OCCUPATION_TYPE_Accountants;OCCUPATION_TYPE_Cleaning staff;OCCUPATION_TYPE_Cooking staff;OCCUPATION_TYPE_Core staff;OCCUPATION_TYPE_Drivers;OCCUPATION_TYPE_HR staff;OCCUPATION_TYPE_High skill tech staff;OCCUPATION_TYPE_IT staff;OCCUPATION_TYPE_Laborers;OCCUPATION_TYPE_Low-skill Laborers;OCCUPATION_TYPE_Managers;OCCUPATION_TYPE_Medicine staff;OCCUPATION_TYPE_Private service staff;OCCUPATION_TYPE_Realty agents;OCCUPATION_TYPE_Sales staff;OCCUPATION_TYPE_Secretaries;OCCUPATION_TYPE_Security staff;OCCUPATION_TYPE_Waiters/barmen staff;WEEKDAY_APPR_PROCESS_START_FRIDAY;WEEKDAY_APPR_PROCESS_START_MONDAY;WEEKDAY_APPR_PROCESS_START_SATURDAY;WEEKDAY_APPR_PROCESS_START_SUNDAY;WEEKDAY_APPR_PROCESS_START_THURSDAY;WEEKDAY_APPR_PROCESS_START_TUESDAY;WEEKDAY_APPR_PROCESS_START_WEDNESDAY;ORGANIZATION_TYPE_Advertising;ORGANIZATION_TYPE_Agriculture;ORGANIZATION_TYPE_Bank;ORGANIZATION_TYPE_Business Entity Type 1;ORGANIZATION_TYPE_Business Entity Type 2;ORGANIZATION_TYPE_Business Entity Type 3;ORGANIZATION_TYPE_Construction;ORGANIZATION_TYPE_Culture;ORGANIZATION_TYPE_Electricity;ORGANIZATION_TYPE_Emergency;ORGANIZATION_TYPE_Government;ORGANIZATION_TYPE_Hotel;ORGANIZATION_TYPE_Housing;ORGANIZATION_TYPE_Industry: type 1;ORGANIZATION_TYPE_Industry: type 10;ORGANIZATION_TYPE_Industry: type 11;ORGANIZATION_TYPE_Industry: type 12;ORGANIZATION_TYPE_Industry: type 2;ORGANIZATION_TYPE_Industry: type 3;ORGANIZATION_TYPE_Industry: type 4;ORGANIZATION_TYPE_Industry: type 5;ORGANIZATION_TYPE_Industry: type 6;ORGANIZATION_TYPE_Industry: type 7;ORGANIZATION_TYPE_Industry: type 9;ORGANIZATION_TYPE_Insurance;ORGANIZATION_TYPE_Kindergarten;ORGANIZATION_TYPE_Legal Services;ORGANIZATION_TYPE_Medicine;ORGANIZATION_TYPE_Military;ORGANIZATION_TYPE_Mobile;ORGANIZATION_TYPE_Other;ORGANIZATION_TYPE_Police;ORGANIZATION_TYPE_Postal;ORGANIZATION_TYPE_Realtor;ORGANIZATION_TYPE_Restaurant;ORGANIZATION_TYPE_School;ORGANIZATION_TYPE_Security;ORGANIZATION_TYPE_Security Ministries;ORGANIZATION_TYPE_Self-employed;ORGANIZATION_TYPE_Services;ORGANIZATION_TYPE_Telecom;ORGANIZATION_TYPE_Trade: type 1;ORGANIZATION_TYPE_Trade: type 2;ORGANIZATION_TYPE_Trade: type 3;ORGANIZATION_TYPE_Trade: type 4;ORGANIZATION_TYPE_Trade: type 6;ORGANIZATION_TYPE_Trade: type 7;ORGANIZATION_TYPE_Transport: type 1;ORGANIZATION_TYPE_Transport: type 2;ORGANIZATION_TYPE_Transport: type 3;ORGANIZATION_TYPE_Transport: type 4;ORGANIZATION_TYPE_University;FONDKAPREMONT_MODE_not specified;FONDKAPREMONT_MODE_org spec account;FONDKAPREMONT_MODE_reg oper account;FONDKAPREMONT_MODE_reg oper spec account;HOUSETYPE_MODE_block of flats;HOUSETYPE_MODE_specific housing;HOUSETYPE_MODE_terraced house;WALLSMATERIAL_MODE_Block;WALLSMATERIAL_MODE_Mixed;WALLSMATERIAL_MODE_Monolithic;WALLSMATERIAL_MODE_Others;WALLSMATERIAL_MODE_Panel;WALLSMATERIAL_MODE_Stone, brick;WALLSMATERIAL_MODE_Wooden;TARGET
0;100083.0;0.0;1.0;0.0;1.0;0.0;103500.0;573628.5;24435.0;463500.0;0.0096569999999999;-15406.0;-892.0;-341.0;-4176.0;22.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2707661633733818;0.7071263161734994;0.5971924268337128;0.1464;0.1291;0.9861;0.8096;0.108;0.04;0.0345;0.3333;0.375;0.0;0.1194;0.0933;0.0;0.0;0.1492;0.134;0.9861;0.8171;0.109;0.0403;0.0345;0.3333;0.375;0.0;0.1304;0.0972;0.0;0.0;0.1478;0.1291;0.9861;0.8121;0.1087;0.04;0.0345;0.3333;0.375;0.0;0.1214;0.0949;0.0;0.0;0.1324;0.0;2.0;1.0;2.0;1.0;-2053.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0,,
1;100145.0;0.0;0.0;0.0;1.0;1.0;202500.0;260725.5;16789.5;198000.0;0.01885;-16282.0;-4375.0;-762.0;-1494.0;8.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6470448716896019;0.7464864055627681;0.7394117535524816;0.0928;0.1;0.9801;0.728;0.0463;0.0;0.2069;0.1667;0.2083;0.0437;0.0756;0.0903;0.0;0.0;0.0945;0.1038;0.9801;0.7387;0.0467;0.0;0.2069;0.1667;0.2083;0.0447;0.0826;0.0941;0.0;0.0;0.0937;0.1;0.9801;0.7316;0.0466;0.0;0.2069;0.1667;0.2083;0.0445;0.077;0.0919;0.0;0.0;0.071;0.0;6.0;0.0;6.0;0.0;-1782.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0,,
2;100179.0;0.0;0.0;0.0;0.0;0.0;202500.0;675000.0;53329.5;675000.0;0.031329;-11375.0;-2311.0;-180.0;-2009.0;4.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6748315126672113;0.6161564242321512;0.6738300778602003;0.5845;0.457;0.9945;0.9252;0.3468;0.6;0.2414;0.9167;0.5;0.2847;0.4287;0.7187;0.2201;0.7729;0.5956;0.4742;0.9945;0.9281;0.35;0.6042;0.2414;0.9167;0.5;0.2912;0.4683;0.7488;0.2218;0.8183;0.5902;0.457;0.9945;0.9262;0.349;0.6;0.2414;0.9167;0.5;0.2896;0.4361;0.7317;0.2213;0.7892;0.7334;0.0;0.0;0.0;0.0;0.0;-1792.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0,,
3;100190.0;0.0;1.0;0.0;0.0;0.0;162000.0;263686.5;24781.5;238500.0;0.022625;-13972.0;-4472.0;-464.0;-4529.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;2.0;2.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5349985744410304;0.5858586300023704;0.7886807751817684;0.3093;0.1973;0.9891;0.8504;0.0;0.4;0.2414;0.4583;0.5;0.4101;0.2522;0.3564;0.0;0.0168;0.3151;0.2047;0.9891;0.8563;0.0;0.4028;0.2414;0.4583;0.5;0.4195;0.2755;0.3713;0.0;0.0178;0.3123;0.1973;0.9891;0.8524;0.0;0.4;0.2414;0.4583;0.5;0.4173;0.2565;0.3628;0.0;0.0172;0.4064;0.0;5.0;0.0;5.0;0.0;-1161.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0,,
4;100295.0;0.0;1.0;0.0;0.0;1.0;225000.0;1019205.0;31032.0;774000.0;0.072508;-11356.0;-602.0;-335.0;-3224.0;9.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;1.0;14.0;1.0;0.0;1.0;0.0;0.0;0.0;0.2620051155519113;0.3023938171668298;0.4632753280912678;0.2402;0.1098;0.9916;0.8844;0.4682;0.4;0.1724;0.5417;0.5;0.0223;0.1942;0.227;0.0077;0.0075;0.2447;0.1139;0.9916;0.8889;0.4724;0.4028;0.1724;0.5417;0.5;0.0228;0.2121;0.2365;0.0078;0.008;0.2425;0.1098;0.9916;0.8859;0.4711;0.4;0.1724;0.5417;0.5;0.0227;0.1975;0.231;0.0078;0.0077;0.1874;0.0;3.0;0.0;3.0;0.0;-14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1,,
5;100341.0;0.0;1.0;0.0;1.0;0.0;76500.0;545040.0;20677.5;450000.0;0.031329;-20348.0;-7115.0;-1799.0;-2780.0;28.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.660390355516301;0.6473727821815991;0.3154721549257734;0.0485;0.0328;0.9816;0.7484;0.0216;0.0;0.0345;0.1667;0.2083;0.012;0.0395;0.0218;0.0;0.0;0.0494;0.034;0.9816;0.7583;0.0218;0.0;0.0345;0.1667;0.2083;0.0122;0.0432;0.0228;0.0;0.0;0.0489;0.0328;0.9816;0.7518;0.0217;0.0;0.0345;0.1667;0.2083;0.0122;0.0402;0.0222;0.0;0.0;0.041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0,,
6;100343.0;0.0;1.0;0.0;1.0;0.0;315000.0;90000.0;4504.5;90000.0;0.0228;-10935.0;-422.0;-5251.0;-3364.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;2.0;2.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2598232457059673;0.5819802398826008;0.5370699579791587;0.2959;0.1433;0.9871;0.8232;0.0706;0.32;0.2759;0.3333;0.375;0.144;0.2404;0.3213;0.0039;0.0086;0.3015;0.1487;0.9871;0.8301;0.0712;0.3222;0.2759;0.3333;0.375;0.1473;0.2626;0.3348;0.0039;0.0091;0.2987;0.1433;0.9871;0.8256;0.071;0.32;0.2759;0.3333;0.375;0.1465;0.2446;0.3271;0.0039;0.0087;0.2932;0.0;2.0;0.0;2.0;0.0;-1016.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0,,
7;100363.0;0.0;0.0;0.0;1.0;1.0;360000.0;493497.0;48942.0;454500.0;0.006629;-14882.0;-436.0;-1140.0;-4606.0;6.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;2.0;2.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7354428830169121;0.462204930913421;0.5406544504453575;0.0784;0.0;0.995;0.932;0.0194;0.08;0.069;0.25;0.0417;0.0979;0.063;0.1019;0.0618;0.0544;0.0798;0.0;0.995;0.9347;0.0195;0.0806;0.069;0.25;0.0417;0.1001;0.0689;0.1062;0.0623;0.0576;0.0791;0.0;0.995;0.9329;0.0195;0.08;0.069;0.25;0.0417;0.0996;0.0641;0.1037;0.0621;0.0556;0.097;0.0;0.0;0.0;0.0;0.0;-563.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0,,
8;100371.0;0.0;0.0;0.0;1.0;1.0;450000.0;808650.0;31464.0;675000.0;0.072508;-14768.0;-426.0;-3241.0;-3409.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;1.0;1.0;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.8488032279999198;0.6156753285811992;0.524496446363472;0.4572;0.1461;0.9945;0.9252;0.0;0.44;0.1897;0.6667;0.0;0.0;0.3728;0.4587;0.0;0.0534;0.1429;0.0534;0.9945;0.9281;0.0;0.1611;0.069;0.6667;0.0;0.0;0.1249;0.1794;0.0;0.0051;0.4616;0.1461;0.9945;0.9262;0.0;0.44;0.1897;0.6667;0.0;0.0;0.3792;0.4669;0.0;0.0545;0.6093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0,,
9;100376.0;0.0;1.0;0.0;1.0;0.0;360000.0;254700.0;20250.0;225000.0;0.018801;-18831.0;-1342.0;-8691.0;-2067.0;17.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7914124565169158;0.4459873293894053;0.4614823912998385;0.4402;0.2371;0.9831;0.7688;0.1488;0.32;0.2759;0.3333;0.375;0.1312;0.3589;0.3408;0.0;0.0;0.4485;0.246;0.9831;0.7779;0.1502;0.3222;0.2759;0.3333;0.375;0.1342;0.3921;0.3551;0.0;0.0;0.4445;0.2371;0.9831;0.7719;0.1498;0.32;0.2759;0.3333;0.375;0.1335;0.3651;0.3469;0.0;0.0;0.268;0.0;0.0;0.0;0.0;0.0;-542.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0,,
